subject_id,year_in_study,record_date,activity,activity_other,duration,frequency,pace,grade,surface_asphalt,surface_concrete,surface_dirt,surface_grass,surface_rocky,surface_sand,surface_varied,surface_other,surface_other_specify,total_time,total_time_units
grls007MPNZZ,3,2017-05,Fetch outside - ground retrieval,,Less than 10 minutes,More than daily,Run,Steep,0,0,0,0,0,0,1,0,,4.0,Year
grls007MPNZZ,3,2017-05,"On leash (obedience training, walking or running)",,31-60 minutes,Daily,Brisk walk,Moderate,0,1,0,0,0,0,0,0,,3.0,Year
grls007MPNZZ,3,2017-05,"Off leash (obedience training, walking or running)",,Greater than 60 minutes,Monthly,Run,Steep,0,0,0,0,0,0,1,0,,1.0,Year
grls007MPNZZ,4,2018-05,Fetch outside - ground retrieval,,10-30 minutes,Daily,Run,Steep,0,0,1,0,0,0,1,0,,5.0,Year
grls007MPNZZ,4,2018-05,"Off leash (obedience training, walking or running)",,Greater than 60 minutes,Daily,Jog,Steep,0,0,0,0,0,0,1,0,,5.0,Year
grls007MPNZZ,4,2018-05,"On leash (obedience training, walking or running)",,10-30 minutes,Daily,Brisk walk,Flat,0,1,0,0,0,0,0,0,,5.0,Year
grls007MPNZZ,5,2019-05,Fetch outside - ground retrieval,,10-30 minutes,Daily,Run,Moderate,0,0,1,0,0,0,0,0,,6.0,Year
grls007MPNZZ,5,2019-05,"Off leash (obedience training, walking or running)",,Greater than 60 minutes,Daily,Jog,Steep,0,0,1,0,0,0,0,1,woods,3.0,Year
grls007MPNZZ,5,2019-05,"On leash (obedience training, walking or running)",,31-60 minutes,Weekly,Brisk walk,Moderate,0,1,0,0,0,0,0,0,,6.0,Year
grls007MPNZZ,5,2019-05,Other Specify,"active outdoor play, active play with other dogs",31-60 minutes,Daily,Jog,Moderate,0,0,1,0,0,0,0,0,,5.0,Year
grls007MPNZZ,6,2020-06,Fetch outside - ground retrieval,,10-30 minutes,Daily,Run,Steep,0,0,0,0,0,0,1,0,,7.0,Year
grls007MPNZZ,6,2020-06,"Off leash (obedience training, walking or running)",,31-60 minutes,Weekly,Jog,Moderate,0,0,0,0,0,0,1,0,,5.0,Year
grls007MPNZZ,6,2020-06,"On leash (obedience training, walking or running)",,31-60 minutes,Weekly,Brisk walk,Moderate,0,1,0,0,0,0,0,0,,7.0,Year
grls007MPNZZ,7,2021-05,Fetch outside - ground retrieval,,,Daily,Jog,Steep,0,0,1,0,0,0,0,0,,8,Year
grls01C2L8RR,3,2017-07,Active indoor play,,31-60 minutes,More than daily,Jog,Flat,0,0,0,0,0,0,0,1,rug and wooden floor,12.0,Month
grls01C2L8RR,3,2017-07,"Off leash (obedience training, walking or running)",,31-60 minutes,More than daily,Jog,Moderate,0,0,0,1,0,0,0,0,,12.0,Month
grls01C2L8RR,4,2018-08,Active indoor play,,10-30 minutes,Daily,Slow walk,Flat,0,0,0,0,0,0,0,1,hardwood/carpet,12.0,Month
grls01C2L8RR,4,2018-08,Fetch outside - air retrieval,,31-60 minutes,Weekly,Brisk walk,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls01C2L8RR,4,2018-08,Fetch outside - ground retrieval,,31-60 minutes,Weekly,Jog,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls01C2L8RR,4,2018-08,Fetch outside - ground retrieval,,31-60 minutes,Weekly,Run,Flat,0,0,0,0,0,1,0,0,,1.0,Year
grls01C2L8RR,4,2018-08,"Off leash (obedience training, walking or running)",,31-60 minutes,Weekly,Brisk walk,Flat,0,0,0,0,0,1,0,0,,1.0,Year
grls01C2L8RR,4,2018-08,"On leash (obedience training, walking or running)",,31-60 minutes,Daily,Average walk,Flat,1,1,0,1,0,1,0,0,,4.0,Year
grls01C2L8RR,5,2019-07,"On leash (obedience training, walking or running)",,31-60 minutes,Daily,Average walk,Flat,0,1,0,1,0,0,0,0,,5.0,Year
grls01C2L8RR,6,2020-08,"On leash (obedience training, walking or running)",,,More than daily,Slow walk,Flat,0,0,0,1,0,1,1,0,,3,Year
grls01C2L8RR,7,2021-08,"On leash (obedience training, walking or running)",,,More than daily,Average walk,Flat,0,1,0,1,0,0,0,0,,4,Year
grls01LNL888,3,2016-10,Other Specify,"fetch outside - unspecified, off leash (obedience, training, walking or running)",31-60 minutes,Daily,Run,Moderate,0,0,0,0,0,0,0,1,grass and dirt trails,4.0,Year
grls01LNL888,4,2017-10,Other Specify,"fetch outside - ground retrieval, fetch outside - water retrieval, off leash (obedience, training, walking or running)",31-60 minutes,More than daily,Brisk walk,Flat,0,0,1,1,0,0,0,1,snow duration is 30 min per activity.  usually 2-4 activities a day,5.0,Year
grls01LNL888,5,2018-10,Other Specify,"on leash (obedience, training, walking or running)",31-60 minutes,Daily,Brisk walk,Moderate,0,0,0,0,0,0,0,1,"trail off leash so grass,dirt rock",6.0,Year
grls01LNL888,5,2018-10,Fetch outside - ground retrieval,,Less than 10 minutes,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,6.0,Year
