subject_id,year_in_study,record_date,aerobic_duration,aerobic_pace,aerobic_frequency,walk_without_leash,walk_duration,walk_pace,walk_frequency,walk_reason_bathroom,walk_reason_general_enjoyment,walk_reason_training,walk_reason_other_specify,fetch_games_frequency
grls007MPNZZ,0,2014-05,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls007MPNZZ,1,2015-05,,,,0,10-30 minutes,Brisk,More than once a day,0,0,0,all of the above,Frequently
grls007MPNZZ,2,2016-05,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,30-60 minutes,Brisk,More than once a day,1,1,0,,Frequently
grls00NB23WW,0,2014-01,,,,0,10-30 minutes,Average,Less than once/month,0,1,0,,Occasionally
grls00NB23WW,1,2015-01,,,,0,30-60 minutes,Brisk,Less than once/month,0,0,0,"High energy dog, to tired Molly out",Occasionally
grls00NB23WW,2,2016-01,,,,0,10-30 minutes,Average,Less than once/month,0,1,0,,Frequently
grls01C2L8RR,0,2014-08,,,,0,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls01C2L8RR,1,2015-08,,,,0,10-30 minutes,Brisk,Less than once/week,0,1,0,,Occasionally
grls01C2L8RR,2,2016-08,,,,0,10-30 minutes,Brisk,Less than once/week,0,1,0,,Occasionally
grls01LNL888,0,2013-05,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,,,Never,0,0,0,,Frequently
grls01LNL888,1,2014-09,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,10-30 minutes,Slow,Less than once/week,0,0,1,,Frequently
grls01LNL888,2,2015-10,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,,,Never,0,0,0,,Frequently
grls01RDAKNN,0,2014-11,,,,0,30-60 minutes,Average,More than once a day,0,1,0,,Frequently
grls01RDAKNN,1,2016-01,,,,0,10-30 minutes,Average,More than once a day,1,1,0,,Occasionally
grls01RDAKNN,2,2017-01,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,1,30-60 minutes,Average,More than once a day,1,1,0,,Occasionally
grls020IW1ZZ,0,2015-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Run,Once or twice/week,0,0,1,,Frequently
grls020IW1ZZ,1,2016-01,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,10-30 minutes,Jog,Once/day,0,1,0,,Frequently
grls020IW1ZZ,2,2017-01,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,30-60 minutes,Jog,Less than once/week,0,1,0,,Frequently
grls02RRJK88,0,2013-05,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,10-30 minutes,Brisk,Once/day,0,1,0,,Frequently
grls02RRJK88,1,2014-10,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls02RRJK88,2,2015-07,,,,0,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
