subject_id,sex_status,birth_date,enrolled_date
grls007MPNZZ,Neutered Male,2013-03,2014-06
grls00NB23WW,Spayed Female,2012-01,2014-01
grls01C2L8RR,Spayed Female,2014-02,2014-08
grls01LNL888,Spayed Female,2012-08,2013-10
grls01RDAKNN,Spayed Female,2014-05,2015-01
grls020IW1ZZ,Neutered Male,2014-07,2015-01
grls02RRJK88,Intact Male,2011-12,2013-06
grls02VDCV99,Spayed Female,2011-03,2013-02
grls03L3L1FF,Spayed Female,2013-04,2013-11
grls03MTKHLL,Spayed Female,2013-05,2014-04
grls03UREW44,Spayed Female,2013-04,2014-06
grls0449M0EE,Intact Male,2013-05,2015-01
grls04DN2S55,Intact Male,2014-03,2014-12
grls04KX35EE,Spayed Female,2011-12,2013-03
grls04O1IQ00,Intact Female,2014-04,2014-12
grls053MV8EE,Intact Male,2012-06,2014-04
grls056TCYEE,Intact Female,2013-10,2014-11
grls05BPCYNN,Spayed Female,2012-01,2013-10
grls06YF0BSS,Neutered Male,2012-09,2013-05
grls0762M2FF,Spayed Female,2013-05,2014-09
grls08SO0S44,Spayed Female,2014-03,2015-02
grls09FYB3II,Intact Male,2013-10,2014-10
grls09ZIN1OO,Intact Female,2014-06,2015-01
grls0B5181FF,Intact Male,2013-07,2014-05
grls0BWF4BDD,Neutered Male,2012-05,2014-03
grls0C1YSGAA,Spayed Female,2012-12,2014-12
grls0C4FQC88,Neutered Male,2013-02,2014-08
grls0CITW633,Intact Male,2011-01,2013-03
grls0CSZ8WSS,Neutered Male,2012-06,2012-12
grls0CXB5W99,Neutered Male,2014-04,2015-02
grls0D3MFXFF,Spayed Female,2013-06,2014-06
grls0D8TYTHH,Spayed Female,2013-04,2014-04
grls0ENG5Y66,Neutered Male,2011-05,2013-06
grls0EZB9OCC,Neutered Male,2011-03,2012-11
grls0F3UPZPP,Neutered Male,2013-09,2014-08
grls0FZYUVOO,Neutered Male,2013-03,2014-12
grls0G7VYQ55,Neutered Male,2011-08,2013-04
grls0G8MGTOO,Intact Female,2011-11,2013-08
grls0HAV8G99,Spayed Female,2012-08,2014-07
grls0HJ94YAA,Spayed Female,2012-11,2014-07
grls0IBIS0GG,Spayed Female,2011-04,2012-09
grls0ITPHYFF,Intact Male,2013-04,2014-09
grls0LSLKO,Neutered Male,2013-01,2013-07
grls0LUXUMTT,Neutered Male,2011-05,2013-03
grls0MWS6OMM,Spayed Female,2013-02,2013-10
grls0N6CMARR,Neutered Male,2012-04,2013-01
grls0NOGYCWW,Neutered Male,2013-05,2013-12
grls0O6N06KK,Intact Male,2013-04,2014-08
grls0ODDD7QQ,Neutered Male,2012-01,2013-05
grls0OENGRDD,Neutered Male,2013-12,2014-06
grls0OGJIE22,Spayed Female,2011-12,2013-12
grls0PXYZ6BB,Intact Male,2013-01,2014-06
grls0QDSCTT,Intact Female,2012-01,2014-03
grls0R37Y2WW,Intact Male,2013-04,2013-11
grls0RIBHKKK,Spayed Female,2012-10,2015-02
grls0SITE9YY,Neutered Male,2012-10,2014-01
grls0T3Z16YY,Spayed Female,2014-02,2014-09
grls0TA2I2SS,Neutered Male,2013-01,2014-11
grls0TAMSHFF,Intact Male,2012-10,2014-04
grls0U11TOTT,Intact Female,2013-02,2015-01
grls0V9DN9FF,Spayed Female,2012-09,2014-06
grls0VMC6E66,Spayed Female,2012-09,2013-08
grls0VWS5ZPP,Spayed Female,2013-10,2014-06
grls0WE9G899,Spayed Female,2012-06,2013-09
grls0WMXEHYY,Spayed Female,2011-05,2013-04
grls0XFD2S00,Neutered Male,2013-12,2014-11
grls0YCT0XEE,Neutered Male,2013-11,2014-12
grls0YYYJPBB,Spayed Female,2013-03,2014-08
grls0Z1UD211,Spayed Female,2012-02,2013-09
grls0Z7K57AA,Neutered Male,2013-10,2014-10
grls0ZJZZ9OO,Intact Male,2013-11,2014-05
grls0ZT7W4CC,Spayed Female,2011-08,2013-03
grls106R1MGG,Neutered Male,2012-11,2013-09
grls109PNIYY,Neutered Male,2013-05,2013-12
grls10PF8W99,Neutered Male,2014-01,2014-10
grls11BBNP,Spayed Female,2011-07,2012-11
grls12ZDDU,Neutered Male,2011-09,2013-11
grls1495QP66,Intact Female,2013-11,2015-02
grls15TTBZKK,Spayed Female,2013-05,2014-10
grls16CFUCUU,Intact Female,2012-03,2014-06
grls16FL8Z00,Neutered Male,2014-04,2015-01
grls16Y39PGG,Spayed Female,2013-05,2014-03
grls170XXJZZ,Intact Male,2013-05,2014-03
grls178QAA,Intact Male,2013-06,2014-06
grls17BSWSYY,Intact Male,2013-06,2014-06
grls17FS6T00,Spayed Female,2012-01,2013-05
grls17J6WYY,Intact Male,2014-03,2015-02
grls18F2T1OO,Neutered Male,2012-01,2014-01
grls18SJ0XMM,Intact Male,2013-02,2014-01
grls18Y45LVV,Intact Male,2013-06,2014-07
grls19LCJPHH,Spayed Female,2013-03,2015-02
grls1B9PK7YY,Spayed Female,2014-03,2014-10
grls1C3AZ244,Spayed Female,2014-05,2014-12
grls1CJ7JS99,Spayed Female,2013-04,2013-11
grls1CTSI5XX,Neutered Male,2012-11,2014-06
grls1D4EMDQQ,Spayed Female,2013-08,2014-09
grls1EC3TN00,Intact Male,2013-09,2014-07
grls1EYF5OII,Spayed Female,2013-08,2015-01
grls1F7MX4EE,Neutered Male,2012-10,2014-01
grls1FDQRRR,Spayed Female,2014-01,2014-08
grls1FFQVPRR,Neutered Male,2013-07,2014-08
grls1FSWKG44,Neutered Male,2013-02,2015-01
grls1FWHZ3JJ,Spayed Female,2013-07,2014-02
grls1G0BXJAA,Neutered Male,2014-01,2014-11
grls1G2OMPTT,Spayed Female,2013-01,2014-07
grls1GIDJ588,Intact Male,2012-07,2014-05
grls1GKEB022,Spayed Female,2014-06,2015-01
grls1GNBAW55,Spayed Female,2012-03,2012-11
grls1GO7OVJJ,Spayed Female,2013-06,2014-11
grls1IO60U55,Intact Female,2011-05,2013-09
grls1J6B2II,Spayed Female,2012-09,2014-01
grls1JWEEY,Spayed Female,2011-08,2012-10
grls1JY67HOO,Spayed Female,2013-08,2014-12
grls1JY77077,Spayed Female,2014-02,2015-01
grls1K7T6888,Neutered Male,2012-05,2013-05
grls1KV74RFF,Neutered Male,2013-10,2014-06
grls1L6U61SS,Neutered Male,2014-04,2014-12
grls1LNR2C22,Neutered Male,2012-09,2013-04
grls1LSGW1BB,Intact Female,2012-03,2013-11
grls1M17W388,Neutered Male,2012-12,2015-01
grls1M18GUHH,Neutered Male,2012-11,2014-10
grls1M4SL0EE,Spayed Female,2013-02,2014-02
grls1M7ESVV,Spayed Female,2013-02,2014-06
grls1MMHW2TT,Spayed Female,2011-03,2013-03
grls1N26R7HH,Neutered Male,2012-12,2013-06
grls1N450WSS,Neutered Male,2013-01,2015-01
grls1N8O3I33,Neutered Male,2014-07,2015-02
grls1NBZCRQQ,Spayed Female,2013-01,2013-10
grls1NG4CBXX,Spayed Female,2013-01,2013-10
grls1OSZNF11,Spayed Female,2014-02,2015-01
grls1P46DHYY,Spayed Female,2014-04,2014-12
grls1P6DGIWW,Neutered Male,2014-01,2014-08
grls1P8BR1KK,Neutered Male,2012-03,2013-07
grls1QLT9MBB,Spayed Female,2013-04,2014-03
grls1R45QTUU,Spayed Female,2011-04,2012-11
grls1R5W1DNN,Neutered Male,2013-02,2014-03
grls1RGNUZHH,Spayed Female,2011-12,2013-05
grls1SP9QVV,Spayed Female,2012-07,2014-08
grls1T0UJ7BB,Spayed Female,2012-01,2014-09
grls1TCYF611,Spayed Female,2012-11,2015-02
grls1THP76HH,Neutered Male,2012-04,2014-07
grls1U964W33,Neutered Male,2013-12,2014-07
grls1UDS7MJJ,Neutered Male,2013-07,2015-01
grls1US5SPBB,Neutered Male,2010-06,2012-11
grls1VG5ZO00,Spayed Female,2013-07,2015-01
grls1VS4BJHH,Neutered Male,2013-08,2014-05
grls1VSY5OVV,Neutered Male,2012-08,2014-08
grls1W2Z1HOO,Intact Female,2012-07,2013-07
grls1W4Z888,Neutered Male,2012-07,2013-02
grls1WT8URMM,Neutered Male,2013-04,2014-05
grls1X8STWLL,Spayed Female,2012-12,2014-03
grls1XIBPR44,Spayed Female,2011-10,2014-06
grls1XT2PQ77,Intact Female,2011-08,2013-08
grls1XTARN88,Spayed Female,2011-08,2013-01
grls1XTYP999,Neutered Male,2012-08,2014-02
grls1XUEQXNN,Spayed Female,2013-06,2014-08
grls1XY17PSS,Spayed Female,2013-05,2014-10
grls1Y1K30GG,Spayed Female,2014-06,2015-02
grls1Y9WQK22,Spayed Female,2012-05,2013-05
grls1YGU1BJJ,Neutered Male,2010-12,2012-12
grls1YLKGH66,Neutered Male,2012-05,2013-09
grls1YYK24LL,Neutered Male,2012-06,2013-09
grls20EDCSKK,Neutered Male,2011-12,2013-02
grls20LGRE11,Neutered Male,2014-05,2015-01
grls21DHI677,Neutered Male,2014-04,2015-01
grls21FVKE55,Spayed Female,2013-09,2014-04
grls21MTXB44,Neutered Male,2014-07,2015-02
grls221X4400,Spayed Female,2013-09,2015-02
grls238GNVWW,Intact Female,2013-09,2015-01
grls23BTJ6WW,Spayed Female,2011-10,2013-04
grls23J9GHOO,Spayed Female,2013-05,2014-12
grls23SK5GWW,Neutered Male,2012-06,2014-09
grls24NPSQCC,Neutered Male,2012-09,2014-10
grls24NY4622,Spayed Female,2014-03,2015-02
grls24RHMB77,Neutered Male,2012-08,2014-04
